Abstimmungsnummer,Abstimmungsdatum,Titel,Offizieller Titel,Rechtsform,Initiativform,Stichwort,Volksmehr,Ständemehr,Ergebnis,Stimmbeteiligung (%),Ja-Stimmen,Nein-Stimmen,Kantone Ja,Kantone Nein,Swissvotes-Link
164.0,1952-10-05 00:00:00,Bundesbeschluss über den Einbau von Luftschutzräumen,Bundesbeschluss über den Einbau von Luftschutzräumen in bestehenden Häusern,Fakultatives Referendum,Nicht zutreffend,.,0,3,Abgelehnt,52.631942,110681.0,603917.0,0.0,22.0,https://swissvotes.ch/vote/164.00
165.0,1952-11-23 00:00:00,Befristete Weiterführung der Preiskontrolle,Bundesbeschluss über die befristete Weiterführung einer beschränkten Preiskontrolle,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,56.423383,489461.0,289837.0,16.0,6.0,https://swissvotes.ch/vote/165.00
166.0,1952-11-23 00:00:00,Beschluss zur Brotgetreideversorgung des Landes,Bundesbeschluss über die Brotgetreideversorgung des Landes,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,56.423383,583546.0,188044.0,21.5,0.5,https://swissvotes.ch/vote/166.00
167.0,1953-04-19 00:00:00,Postverkehrsgesetz,Bundesgesetz über die Revision des Bundesgesetzes betreffend den Postverkehr,Fakultatives Referendum,Nicht zutreffend,.,0,3,Abgelehnt,52.650216,267659.0,466431.0,1.0,21.0,https://swissvotes.ch/vote/167.00
168.0,1953-12-06 00:00:00,Neuordnung des Finanzhaushalts,Bundesbeschluss über die verfassungsmässige Neuordnung des Finanzhaushaltes des Bundes,Obligatorisches Referendum,Nicht zutreffend,.,0,0,Abgelehnt,60.283543,354149.0,488232.0,3.0,19.0,https://swissvotes.ch/vote/168.00
169.0,1953-12-06 00:00:00,Verfassungsartikel über den Schutz der Gewässer ,Bundesbeschluss über die Ergänzung der Bundesverfassung durch einen Artikel 24quater betreffend den Schutz der Gewässer gegen Verunreinigung,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,59.148171,671565.0,154234.0,22.0,0.0,https://swissvotes.ch/vote/169.00
170.0,1954-06-20 00:00:00,Bundesbeschluss über Fähigkeitsausweise,"Bundesbeschluss über den Fähigkeitsausweis im Schuhmacher-, Coiffeur-, Sattler- und Wagnergewerbe",Fakultatives Referendum,Nicht zutreffend,.,0,3,Abgelehnt,40.948781,187729.0,380213.0,0.0,22.0,https://swissvotes.ch/vote/170.00
171.0,1954-06-20 00:00:00,Hilfe an kriegsgeschädigte Auslandschweizer,Bundesbeschluss über ausserordentliche Hilfeleistungen an kriegsgeschädigte Auslandschweizer,Fakultatives Referendum,Nicht zutreffend,.,0,3,Abgelehnt,40.65712,243311.0,309083.0,4.5,17.5,https://swissvotes.ch/vote/171.00
172.0,1954-10-24 00:00:00,Finanzordnung 1955 bis 1958,Bundesbeschluss über die Finanzordnung 1955 bis 1958,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,46.772866,457527.0,196188.0,21.0,1.0,https://swissvotes.ch/vote/172.00
173.0,1954-12-05 00:00:00,Initiative zum Schutz der Stromlandschaft Rheinau,Volksinitiative «Schutz der Stromlandschaft und Verleihung Rheinau»,Volksinitiative,Ausformulierter Verfassungsentwurf,Rheinau-Initiative I,0,0,Abgelehnt,51.878811,229114.0,504330.0,1.0,21.0,https://swissvotes.ch/vote/173.00
174.1,1955-03-13 00:00:00,Mieter- und Konsumentenschutzinitiative,Volksinitiative «zum Schutz der Mieter und Konsumenten» (Weiterführung der Preiskontrolle),Volksinitiative,Ausformulierter Verfassungsentwurf,.,1,0,Abgelehnt,55.534772,392588.0,381130.0,7.0,15.0,https://swissvotes.ch/vote/174.10
174.2,1955-03-13 00:00:00,Gegenentwurf zur Mieter- und Konsumentenschutzinitiative,Gegenentwurf zur Volksinitiative «zum Schutz der Mieter und Konsumenten» (Weiterführung der Preiskontrolle),Direkter Gegenentwurf,Nicht zutreffend,.,0,0,Abgelehnt,55.534772,317934.0,449087.0,8.5,13.5,https://swissvotes.ch/vote/174.20
175.0,1956-03-04 00:00:00,Befristete Weiterführung einer beschränkten Preiskontrolle,Bundesbeschluss über die befristete Weiterführung einer beschränkten Preiskontrolle (Verlängerung der Gültigkeitsdauer des Verfassungszusatzes vom 26. September 1952),Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,49.401515,542425.0,157106.0,22.0,0.0,https://swissvotes.ch/vote/175.00
176.0,1956-05-13 00:00:00,Initiative zur Erweiterung der Volksrechte bei Wasserrechtskonzessionen,Volksbegehren zur Erweiterung der Volksrechte bei der Erteilung von Wasserrechtskonzessionen durch den Bund,Volksinitiative,Ausformulierter Verfassungsentwurf,Rheinau-Initiative II,0,0,Abgelehnt,52.087475,266222.0,454831.0,2.5,19.5,https://swissvotes.ch/vote/176.00
177.0,1956-05-13 00:00:00,Gewährung einer Hilfe an die Holzverzuckerungs-AG Graubünden,Bundesbeschluss über Massnahmen zur Stärkung der Wirtschaft des Kantons Graubünden durch Gewährung einer Hilfe an die Holzverzuckerungs-AG,Fakultatives Referendum,Nicht zutreffend,.,0,3,Abgelehnt,52.641086,316276.0,428561.0,4.5,17.5,https://swissvotes.ch/vote/177.00
178.0,1956-09-30 00:00:00,Revision der Brotgetreideordnung ,Bundesbeschluss über die Revision der Brotgetreideordnung des Landes,Obligatorisches Referendum,Nicht zutreffend,.,0,0,Abgelehnt,43.950778,239890.0,379245.0,5.5,16.5,https://swissvotes.ch/vote/178.00
179.0,1956-09-30 00:00:00,Beschluss betreffend Ausgabenbeschlüsse der Bundesversammlung,Bundesbeschluss über das Volksbegehren betreffend Ausgabenbeschlüsse der Bundesversammlung (Gegenentwurf),Direkter Gegenentwurf,Nicht zutreffend,.,0,0,Abgelehnt,43.833777,276660.0,331117.0,9.0,13.0,https://swissvotes.ch/vote/179.00
180.0,1957-03-03 00:00:00,Zivilschutzartikel,Bundesbeschluss über die Ergänzung der Bundesverfassung durch einen Artikel 22bis über den Zivilschutz,Obligatorisches Referendum,Nicht zutreffend,.,0,1,Abgelehnt,53.103022,361028.0,389633.0,14.0,8.0,https://swissvotes.ch/vote/180.00
181.0,1957-03-03 00:00:00,Verfassungsartikel betreffend Rundspruch und Fernsehen,Bundesbeschluss über die Ergänzung der Bundesverfassung durch einen Artikel 36bis betreffend Rundspruch und Fernsehen,Obligatorisches Referendum,Nicht zutreffend,.,0,0,Abgelehnt,52.949254,319766.0,428080.0,10.5,11.5,https://swissvotes.ch/vote/181.00
182.0,1957-11-24 00:00:00,Verfassungsartikel zu Atomenergie und Strahlenschutz,Bundesbeschluss über die Ergänzung der Bundesverfassung durch einen Artikel 24quinquies betreffend die Atomenergie und den Strahlenschutz,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,45.452207,491745.0,144151.0,22.0,0.0,https://swissvotes.ch/vote/182.00
183.0,1957-11-24 00:00:00,Beschluss zur Brotgetreideversorgung des Landes,Bundesbeschluss über die befristete Verlängerung der Geltungsdauer der Übergangsordnung betreffend die Brotgetreideversorgung des Landes,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,45.487665,401768.0,239295.0,21.5,0.5,https://swissvotes.ch/vote/183.00
184.0,1958-01-26 00:00:00,Initiative «gegen den Missbrauch wirtschaftlicher Macht»,Volksinitiative «gegen den Missbrauch wirtschaftlicher Macht»,Volksinitiative,Ausformulierter Verfassungsentwurf,Kartellverbot,0,0,Abgelehnt,51.800622,192297.0,550322.0,0.0,22.0,https://swissvotes.ch/vote/184.00
185.0,1958-05-11 00:00:00,Neuordnung des Finanzhaushalts,Bundesbeschluss über die verfassungsmässige Neuordnung des Finanzhaushaltes des Bundes,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,53.217158,419265.0,348905.0,17.5,4.5,https://swissvotes.ch/vote/185.00
186.0,1958-07-06 00:00:00,Verfassungsartikel zum Filmwesen,Bundesbeschluss über die Ergänzung der Bundesverfassung durch einen Artikel 27ter betreffend das Filmwesen,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,42.337802,362806.0,229433.0,20.5,1.5,https://swissvotes.ch/vote/186.00
187.0,1958-07-06 00:00:00,Bundesbeschluss über die Verbesserung des Strassennetzes,Bundesbeschluss über das Volksbegehren für die Verbesserung des Strassennetzes (Gegenentwurf),Direkter Gegenentwurf,Nicht zutreffend,.,1,1,Angenommen,42.407735,515396.0,91238.0,21.0,1.0,https://swissvotes.ch/vote/187.00
188.0,1958-10-26 00:00:00,Initiative «zur Einführung der 44-Stunden-Woche»,Volksinitiative «zur Einführung der 44-Stunden-Woche»,Volksinitiative,Ausformulierter Verfassungsentwurf,.,0,0,Abgelehnt,61.838584,315790.0,586818.0,0.5,21.5,https://swissvotes.ch/vote/188.00
189.0,1958-12-07 00:00:00,Erhöhung des Höchsteinsatzes bei Kursaalspielen,Bundesbeschluss über die Änderung der Bundesverfassung (Kursaalspiele),Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,46.236704,392620.0,262905.0,20.5,1.5,https://swissvotes.ch/vote/189.00
190.0,1958-12-07 00:00:00,Abkommen mit Italien zur Wasserkraft des Spöl,Bundesbeschluss betreffend die Genehmigung des zwischen der Schweizerischen Eidgenossenschaft und der Italienischen Republik abgeschlossenen Abkommens über die Nutzbarmachung der Wasserkraft des Spöl,Fakultatives Referendum,Nicht zutreffend,.,1,3,Angenommen,46.405758,501170.0,165473.0,22.0,0.0,https://swissvotes.ch/vote/190.00
191.0,1959-02-01 00:00:00,Einführung des Frauenstimmrechts,Bundesbeschluss über die Einführung des Frauenstimm- und -wahlrechts in eidgenössischen Angelegenheiten,Obligatorisches Referendum,Nicht zutreffend,.,0,0,Abgelehnt,66.721128,323727.0,654939.0,3.0,19.0,https://swissvotes.ch/vote/191.00
192.0,1959-05-24 00:00:00,Zivilschutzartikel,Bundesbeschluss über die Ergänzung der Bundesverfassung durch einen Artikel 22bis über den Zivilschutz,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,42.860136,380631.0,230701.0,22.0,0.0,https://swissvotes.ch/vote/192.00
193.0,1960-05-29 00:00:00,Weiterführung befristeter Preiskontrollmassnahmen,Bundesbeschluss über die Weiterführung befristeter Preiskontrollmassnahmen,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,38.989803,432219.0,125205.0,22.0,0.0,https://swissvotes.ch/vote/193.00
194.0,1960-12-04 00:00:00,Massnahmen für die Milchwirtschaft,Bundesbeschluss betreffend die Änderung des Bundesbeschlusses über zusätzliche wirtschaftliche und finanzielle Massnahmen auf dem Gebiete der Milchwirtschaft,Fakultatives Referendum,Nicht zutreffend,.,1,3,Angenommen,49.794274,400104.0,310020.0,15.5,6.5,https://swissvotes.ch/vote/194.00
195.0,1961-03-05 00:00:00,Artikel betreffend Leitungsanlagen für Treibstoffe,Bundesbeschluss über die Ergänzung der Bundesverfassung durch einen Artikel 26bis betreffend Rohrleitungsanlagen zur Beförderung flüssiger oder gasförmiger Brenn- oder Treibstoffe,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,62.814192,644797.0,257847.0,22.0,0.0,https://swissvotes.ch/vote/195.00
196.0,1961-03-05 00:00:00,Treibstoffzoll zur Finanzierung der Nationalstrassen,Bundesbeschluss über die Erhebung eines Zollzuschlages auf Treibstoffen zur Finanzierung der Nationalstrassen,Fakultatives Referendum,Nicht zutreffend,.,0,3,Abgelehnt,63.258731,434245.0,498602.0,10.0,12.0,https://swissvotes.ch/vote/196.00
197.0,1961-10-22 00:00:00,Volksinitiative zur Einführung der Gesetzesinitiative,Volksinitiative «zur Einführung der Gesetzesinitiative im Bunde»,Volksinitiative,Ausformulierter Verfassungsentwurf,.,0,0,Abgelehnt,40.100725,170842.0,409445.0,0.0,22.0,https://swissvotes.ch/vote/197.00
198.0,1961-12-03 00:00:00,Uhrenstatut,Bundesbeschluss über die schweizerische Uhrenindustrie (Uhrenstatut),Fakultatives Referendum,Nicht zutreffend,.,1,3,Angenommen,45.886382,443483.0,221379.0,20.5,1.5,https://swissvotes.ch/vote/198.00
199.0,1962-04-01 00:00:00,Initiative «für ein Verbot der Atomwaffen»,Volksinitiative «für ein Verbot der Atomwaffen»,Volksinitiative,Ausformulierter Verfassungsentwurf,.,0,0,Abgelehnt,55.600588,286895.0,537138.0,4.0,18.0,https://swissvotes.ch/vote/199.00
200.0,1962-05-27 00:00:00,Natur- und Heimatschutz-Artikel,Bundesbeschluss über die Ergänzung der Bundesverfassung durch einen Artikel 24sexies betreffend den Natur- und Heimatschutz,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,38.772605,442559.0,116856.0,22.0,0.0,https://swissvotes.ch/vote/200.00
201.0,1962-05-27 00:00:00,Gesetz über die Taggelder des Nationalrates,Bundesgesetz über die Abänderung des Bundesgesetzes betreffend die Taggelder und Reiseentschädigungen des Nationalrates und der Kommission der eidgenössischen Räte,Fakultatives Referendum,Nicht zutreffend,.,0,3,Abgelehnt,38.783071,176737.0,381229.0,1.0,21.0,https://swissvotes.ch/vote/201.00
202.0,1962-11-04 00:00:00,Festsetzung der Mitgliederzahl des Nationalrates,Bundesbeschluss über die Änderung des Artikels 72 der Bundesverfassung (Wahl des Nationalrates),Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,36.312404,331059.0,188731.0,16.0,6.0,https://swissvotes.ch/vote/202.00
203.0,1963-05-26 00:00:00,Initiative für ein Referendum gegen Atomwaffen,Volksinitiative «Entscheidungsrecht des Volkes über die Ausrüstung der schweizerischen Armee mit Atomwaffen»,Volksinitiative,Ausformulierter Verfassungsentwurf,.,0,0,Abgelehnt,48.797023,274061.0,451238.0,4.5,17.5,https://swissvotes.ch/vote/203.00
204.0,1963-12-08 00:00:00,Weiterführung der Finanzordnung ,Bundesbeschluss über die Weiterführung der Finanzordnung des Bundes (Verlängerung der Geltungsdauer von Art. 41ter BV und Ermässigung der Wehrsteuer),Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,41.806982,474786.0,136970.0,22.0,0.0,https://swissvotes.ch/vote/204.00
205.0,1963-12-08 00:00:00,Artikel über Stipendien und Ausbildungsbeihilfen,Bundesbeschluss betreffend die Ergänzung der Bundesverfassung durch einen Artikel 27quater über Stipendien und andere Ausbildungsbeihilfen,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,41.746444,479987.0,131644.0,22.0,0.0,https://swissvotes.ch/vote/205.00
206.0,1964-02-02 00:00:00,Erlass einer allgemeinen Steueramnestie,Bundesbeschluss über den Erlass einer allgemeinen Steueramnestie auf den 1. Januar 1965,Obligatorisches Referendum,Nicht zutreffend,.,0,0,Abgelehnt,44.276267,276236.0,381864.0,3.5,18.5,https://swissvotes.ch/vote/206.00
207.0,1964-05-24 00:00:00,Berufsbildungsgesetz,Bundesgesetz über die Berufsbildung,Fakultatives Referendum,Nicht zutreffend,.,1,3,Angenommen,37.028999,375052.0,171597.0,22.0,0.0,https://swissvotes.ch/vote/207.00
208.0,1964-12-06 00:00:00,Weiterführung befristeter Preiskontrollmassnahmen,Bundesbeschluss über die Weiterführung befristeter Preiskontrollmassnahmen,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,39.201114,461630.0,119258.0,22.0,0.0,https://swissvotes.ch/vote/208.00
209.0,1965-02-28 00:00:00,Bekämpfung der Teuerung durch Massnahmen im Kreditwesen,Bundesbeschluss über die Bekämpfung der Teuerung durch Massnahmen auf dem Gebiete des Geld- und Kapitalmarktes und des Kreditwesens,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,59.668954,526599.0,385745.0,18.5,3.5,https://swissvotes.ch/vote/209.00
210.0,1965-02-28 00:00:00,Bekämpfung der Teuerung durch Massnahmen in der Bauwirtschaft,Bundesbeschluss über die Bekämpfung der Teuerung durch Massnahmen auf dem Gebiete der Bauwirtschaft,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,59.704703,507739.0,406447.0,17.0,5.0,https://swissvotes.ch/vote/210.00
211.0,1965-05-16 00:00:00,Milchbeschluss,"Bundesgesetz betreffend die Änderung des Beschlusses der Bundesversammlung über Milch, Milchprodukte und Speisefette (Milchbeschluss)",Fakultatives Referendum,Nicht zutreffend,.,1,3,Angenommen,37.469183,347059.0,212784.0,22.0,0.0,https://swissvotes.ch/vote/211.00
212.0,1966-10-16 00:00:00,Auslandschweizer-Artikel,Bundesbeschluss über die Ergänzung der Bundesverfasssung durch einen Artikel 45bis über die Auslandschweizer,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,47.867767,491220.0,230483.0,22.0,0.0,https://swissvotes.ch/vote/212.00
213.0,1966-10-16 00:00:00,Initiative «zur Bekämpfung des Alkoholismus»,Volksinitiative «zur Bekämpfung des Alkoholismus»,Volksinitiative,Allgemeine Anregung,.,0,3,Abgelehnt,48.043969,174242.0,571267.0,0.0,22.0,https://swissvotes.ch/vote/213.00
214.0,1967-07-02 00:00:00,Initiative «gegen die Bodenspekulation»,Volksinitiative «gegen die Bodenspekulation»,Volksinitiative,Ausformulierter Verfassungsentwurf,.,0,0,Abgelehnt,37.978388,192991.0,397303.0,1.0,21.0,https://swissvotes.ch/vote/214.00
215.0,1968-02-18 00:00:00,Erlass einer allgemeinen Steueramnestie,Bundesbeschluss über den Erlass einer allgemeinen Steueramnestie,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,41.801812,400900.0,247255.0,22.0,0.0,https://swissvotes.ch/vote/215.00
216.0,1968-05-19 00:00:00,Gesetz über die Tabakbesteuerung,Bundesgesetz über die Tabakbesteuerung,Fakultatives Referendum,Nicht zutreffend,.,0,3,Abgelehnt,36.923293,277229.0,297381.0,10.5,11.5,https://swissvotes.ch/vote/216.00
217.0,1969-06-01 00:00:00,Gesetz über die Eidgenössischen Technischen Hochschulen,Bundesgesetz über die Eidgenössischen Technischen Hochschulen,Fakultatives Referendum,Nicht zutreffend,.,0,3,Abgelehnt,33.919614,179765.0,341548.0,2.0,20.0,https://swissvotes.ch/vote/217.00
218.0,1969-09-14 00:00:00,Verfassungsrechtliche Ordnung des Bodenrechts,Bundesbeschluss über die Ergänzung der Bundesverfassung durch die Artikel 22ter und 22quater (Verfassungsrechtliche Ordnung des Bodenrechts),Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,32.941861,286282.0,225536.0,19.5,2.5,https://swissvotes.ch/vote/218.00
219.0,1970-02-01 00:00:00,Bundesbeschluss über die inländische Zuckerwirtschaft,Bundesbeschluss über die inländische Zuckerwirtschaft,Fakultatives Referendum,Nicht zutreffend,.,1,3,Angenommen,43.761281,380023.0,320653.0,14.0,8.0,https://swissvotes.ch/vote/219.00
220.0,1970-06-07 00:00:00,Initiative «Gegen die Überfremdung»,Volksinitiative «gegen die Überfremdung»,Volksinitiative,Ausformulierter Verfassungsentwurf,"Zweite «Überfremdungsinitiative», Schwarzenbach-Initiative",0,0,Abgelehnt,74.715263,557517.0,654844.0,7.0,15.0,https://swissvotes.ch/vote/220.00
221.0,1970-09-27 00:00:00,Verfassungsartikel zur Förderung von Turnen und Sport,Bundesbeschluss über die Ergänzung der Bundesverfassung durch einen Artikel 27quinquies betreffend die Förderung von Turnen und Sport,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,43.771594,524361.0,178283.0,22.0,0.0,https://swissvotes.ch/vote/221.00
222.0,1970-09-27 00:00:00,Initiative «Recht auf Wohnung und Ausbau des Familienschutzes»,Volksinitiative «Recht auf Wohnung und Ausbau des Familienschutzes»,Volksinitiative,Ausformulierter Verfassungsentwurf,.,0,0,Abgelehnt,43.813279,344640.0,359818.0,8.0,14.0,https://swissvotes.ch/vote/222.00
223.0,1970-11-15 00:00:00,Änderung der Finanzordnung,Bundesbeschluss über die Änderung der Finanzordnung des Bundes,Obligatorisches Referendum,Nicht zutreffend,.,1,0,Abgelehnt,40.948148,366117.0,294965.0,9.0,13.0,https://swissvotes.ch/vote/223.00
224.0,1971-02-07 00:00:00,Einführung des Frauenstimmrechts,Bundesbeschluss über die Einführung des Frauenstimm- und Wahlrechts in eidgenössischen Angelegenheiten,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,57.733509,621109.0,323882.0,15.5,6.5,https://swissvotes.ch/vote/224.00
225.0,1971-06-06 00:00:00,Umweltschutzartikel,Bundesbeschluss über die Ergänzung der Bundesverfassung durch einen Artikel 24septies betreffend den Schutz des Menschen und seiner natürlichen Umwelt gegen schädliche oder lästige Einwirkungen,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,37.852548,1222931.0,96359.0,22.0,0.0,https://swissvotes.ch/vote/225.00
226.0,1971-06-06 00:00:00,Weiterführung der Finanzordnung,Bundesbeschluss über die Weiterführung der Finanzordnung des Bundes,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,37.761535,930878.0,348702.0,22.0,0.0,https://swissvotes.ch/vote/226.00
227.1,1972-03-05 00:00:00,Initiative «zur Förderung des Wohnungsbaues»,"Volksinitiative «zur Bildung eines Wohnbaufonds zwecks Förderung des Wohnungsbaues, des Wohnungseigentums und für die Sicherstellung angemessener Wohnungsmietzinse» (Denner-Initiative)",Volksinitiative,Ausformulierter Verfassungsentwurf,.,0,0,Abgelehnt,35.711721,360262.0,835315.0,0.0,22.0,https://swissvotes.ch/vote/227.10
227.2,1972-03-05 00:00:00,Gegenentwurf zur Wohnungsbau-Initiative,"Bundesbeschluss betreffend die Ergänzung der Bundesverfassung durch einen Artikel 34sexies über den Wohnungsbau und betreffend das Volksbegehren zur Bildung eines Wohnbaufonds (Denner-Initiative, Gegenentwurf)",Direkter Gegenentwurf,Nicht zutreffend,.,1,1,Angenommen,35.711721,727629.0,432872.0,21.0,1.0,https://swissvotes.ch/vote/227.20
228.0,1972-03-05 00:00:00,Verfassungsartikel über den Mieterschutz und die Allgemeinverbindlicherklärung von Mietverträgen,Bundesbeschluss betreffend die Ergänzung der Bundesverfassung durch einen Artikel 34septies über die Allgemeinverbindlicherklärung von Mietverträgen und Massnahmen zum Schutze der Mieter,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,35.70675,1057322.0,180795.0,22.0,0.0,https://swissvotes.ch/vote/228.00
229.0,1972-06-04 00:00:00,Massnahmen zur Stabilisierung des Baumarktes,Bundesbeschluss über Massnahmen zur Stabilisierung des Baumarktes,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,26.7433,774794.0,154827.0,22.0,0.0,https://swissvotes.ch/vote/229.00
230.0,1972-06-04 00:00:00,Bundesbeschluss über den Schutz der Währung,Bundesbeschluss über den Schutz der Währung,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,26.724765,808974.0,113164.0,22.0,0.0,https://swissvotes.ch/vote/230.00
231.0,1972-09-24 00:00:00,Initiative für ein Waffenausfuhrverbot,Volksinitiative «für eine vermehrte Rüstungskontrolle und ein Waffenausfuhrverbot»,Volksinitiative,Ausformulierter Verfassungsentwurf,.,0,0,Abgelehnt,33.091959,585046.0,592833.0,7.0,15.0,https://swissvotes.ch/vote/231.00
232.1,1972-12-03 00:00:00,Initiative zur Einführung einer Volkspension,"Bundesbeschluss betreffend das Volksbegehren für eine wirkliche Volkspension und die Änderung der Bundesverfassung auf dem Gebiete der Alters-, Hinterlassenen- und Invalidenvorsorge (Volksinitiative)",Volksinitiative,Ausformulierter Verfassungsentwurf,.,0,0,Abgelehnt,52.942511,294511.0,1481488.0,0.0,22.0,https://swissvotes.ch/vote/232.10
232.2,1972-12-03 00:00:00,Gegenentwurf zur Initiative zur Einführung einer Volkspension,"Bundesbeschluss betreffend das Volksbegehren für eine wirkliche Volkspension und die Änderung der Bundesverfassung auf dem Gebiete der Alters-, Hinterlassenen- und Invalidenvorsorge (Gegenentwurf)",Direkter Gegenentwurf,Nicht zutreffend,.,1,1,Angenommen,52.942511,1393797.0,418018.0,22.0,0.0,https://swissvotes.ch/vote/232.20
233.0,1972-12-03 00:00:00,Abkommen mit der EWG,Bundesbeschluss über die Abkommen zwischen der Schweizerischen Eidgenossenschaft und der Europäischen Wirtschaftsgemeinschaft sowie den Mitgliedstaaten der Europäischen Gemeinschaft für Kohle und Stahl,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,52.912942,1344994.0,509465.0,22.0,0.0,https://swissvotes.ch/vote/233.00
234.0,1973-03-04 00:00:00,Bildungsartikel,Bundesbeschluss über die Änderung der Bundesverfassung betreffend das Bildungswesen,Obligatorisches Referendum,Nicht zutreffend,.,1,0,Abgelehnt,27.502335,507414.0,454428.0,10.5,11.5,https://swissvotes.ch/vote/234.00
235.0,1973-03-04 00:00:00,Verfassungsartikel zur wissenschaftlichen Forschung,Bundesbeschluss über die Ergänzung der Bundesverfassung betreffend die Förderung der wissenschaftlichen Forschung,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,27.507701,617628.0,339857.0,19.0,3.0,https://swissvotes.ch/vote/235.00
236.0,1973-05-20 00:00:00,Aufhebung des Jesuiten- und des Klosterartikels,Bundesbeschluss über die Aufhebung des Jesuiten- und des Klosterartikels der Bundesverfassung (Art. 51 und 52),Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,40.285268,791076.0,648924.0,16.5,5.5,https://swissvotes.ch/vote/236.00
237.0,1973-12-02 00:00:00,Massnahmen zur Preisüberwachung,Bundesbeschluss über Massnahmen zur Überwachung der Preise,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,35.027599,751173.0,505843.0,20.0,2.0,https://swissvotes.ch/vote/237.00
238.0,1973-12-02 00:00:00,Massnahmen auf dem Gebiet des Kreditwesens,Bundesbeschluss über Massnahmen auf dem Gebiete des Kreditwesens,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,34.993931,810307.0,434045.0,18.5,3.5,https://swissvotes.ch/vote/238.00
239.0,1973-12-02 00:00:00,Massnahmen zur Stabilisierung des Baumarktes,Bundesbeschluss über Massnahmen zur Stabilisierung des Baumarktes,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,35.012429,881662.0,370843.0,20.0,2.0,https://swissvotes.ch/vote/239.00
240.0,1973-12-02 00:00:00,Einschränkung der steuerwirksamen Abschreibungen,"Bundesbeschluss über die Einschränkung der steuerwirksamen Abschreibungen bei den Einkommenssteuern von Bund, Kantonen und Gemeinden",Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,34.950821,834792.0,391956.0,19.5,2.5,https://swissvotes.ch/vote/240.00
241.0,1973-12-02 00:00:00,Tierschutzartikel ,Bundesbeschluss über einen Tierschutzartikel anstelle des bisherigen Artikels 25bis der Bundesverfassung,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,34.989702,1041504.0,199090.0,22.0,0.0,https://swissvotes.ch/vote/241.00
242.0,1974-10-20 00:00:00,Initiative «Gegen die Überfremdung»,Volksinitiative «gegen die Überfremdung und Überbevölkerung der Schweiz»,Volksinitiative,Ausformulierter Verfassungsentwurf,Dritte «Überfremdungsinitiative»,0,0,Abgelehnt,70.332273,878891.0,1691632.0,0.0,22.0,https://swissvotes.ch/vote/242.00
243.0,1974-12-08 00:00:00,Verbesserung des Bundeshaushalts,Bundesbeschluss zur Verbesserung des Bundeshaushalts,Obligatorisches Referendum,Nicht zutreffend,.,0,0,Abgelehnt,39.577427,625780.0,783894.0,4.0,18.0,https://swissvotes.ch/vote/243.00
244.0,1974-12-08 00:00:00,Erschwerung von Ausgabenbeschlüssen,Bundesbeschluss über die Erschwerung von Ausgabenbeschlüssen,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,39.535685,934633.0,460236.0,22.0,0.0,https://swissvotes.ch/vote/244.00
